adamlink_uri;preflabel;wikidata;bag_uri;since_min;since_max;until_min;until_max
https://adamlink.nl/geo/street/sgravelandseweg/8875;'s-Gravelandseweg;http://www.wikidata.org/entity/Q19514434;http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0457300000000068;1750;1750;0;0
https://adamlink.nl/geo/street/sgravendijkdreef/4054;'s-Gravendijkdreef;http://www.wikidata.org/entity/Q19514447;http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001778;1971;1971;0;0
https://adamlink.nl/geo/street/sgravenhekje/4055;'s-Gravenhekje;http://www.wikidata.org/entity/Q13365549;http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004442;1593;1593;0;0
https://adamlink.nl/geo/street/sgravenlandseveer/3925;'s-Gravenlandseveer;http://www.wikidata.org/entity/Q13365551;http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005904;1913;1913;0;0
https://adamlink.nl/geo/street/sgravesandeplein/4056;'s-Gravesandeplein;http://www.wikidata.org/entity/Q2208684;http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004443;1900;1900;0;0
https://adamlink.nl/geo/street/sgravesandestraat/4057;'s-Gravesandestraat;http://www.wikidata.org/entity/Q2981533;http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004444;1890;1890;0;0
https://adamlink.nl/geo/street/t-gouse-veer/5683;"'t Gouse Veer";;;1342;1342;0;0
https://adamlink.nl/geo/street/t-hol/4365;"'t Hol";http://www.wikidata.org/entity/Q19562090;http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005409;1625;1625;0;0
https://adamlink.nl/geo/street/t-kleine-loopveld/4366;"'t Kleine Loopveld";Q116564312;http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001877;0;0;0;0
https://adamlink.nl/geo/street/t-nauwe-steegje/8876;"'t Nauwe Steegje";http://www.wikidata.org/entity/Q19562506;http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0457300000000181;1910;1910;0;0
https://adamlink.nl/geo/street/t-nopeind/6613;"'t Nopeind";Q19562534;http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005071;1934;1934;0;0
https://adamlink.nl/geo/street/t-nopeind-zunderdorp/4367;"'t Nopeind (Zunderdorp)";http://www.wikidata.org/entity/Q19562534;;0;0;0;0
https://adamlink.nl/geo/street/t-voorwerf/4368;"'t Voorwerf";http://www.wikidata.org/entity/Q19563175;http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005072;1921;1921;0;0
https://adamlink.nl/geo/street/1e-glanshof/5283;"1e Glanshof";http://www.wikidata.org/entity/Q18925214;http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002456;2005;2005;0;0
https://adamlink.nl/geo/street/2e-glanshof/5284;"2e Glanshof";http://www.wikidata.org/entity/Q18925576;http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002454;2005;2005;0;0
https://adamlink.nl/geo/street/a-eversplein/6369;"A. Eversplein";;http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300011951221;2015;2015;0;0
https://adamlink.nl/geo/street/a-moenstraat/5285;"A. Moenstraat";http://www.wikidata.org/entity/Q18926553;http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300001988925;2012;2012;0;0
